Association_ID,vVirusNameCorrected,hHostNameFinal,Previous_ID,WildDomInReference,DetectionMethod,DetectionQuality02,FINAL_ref,Mendeley_Endnote,input_date
F509,Bluetongue_virus,Crocuta_crocuta,NW88,wild,Antibodies,0,"Alexander, MacLachlan et al. 1994",M,v30
,Canine_distemper_virus,Crocuta_crocuta,,domestic,Antibodies,0,Prager et al. 2013,arw,arw
F884,Feline_coronavirus,Crocuta_crocuta,NW384,wild,PCR,2,East et al. 2004,E,v30
F356,Feline_immunodeficiency_virus,Crocuta_crocuta,NW389,wild,Antibodies,0,Harrison et al.2002,M,v30
F1524,Rabies_virus,Crocuta_crocuta,NA,wild,PCR,2,Lembo et al. 2008,M,v30
Luis376,Venezuelan_equine_encephalitis_virus,Cuniculus_paca,,wild,Antibodies,0,Grayson & Galido 1968,,v30
F946,Rabies_virus,Cynictis_penicillata,NW752,wild,PCR,2,Cissi et al. 1985,NA,v30
F1243,Rabies_virus,Cynomops_abrasus,L721,wild,Isolation,2,Kobayashi et al. 2010 Note that this species is referred to as Molossus abrasus in this text.,E,v30
Luis285,Rabies_virus,Cynomops_planirostris,,wild,Antibodies,0,Queiroz et al. 2009,arw,arw
F76,Monkeypox_virus,Cynomys_ludovicianus,V1259,wild,PCR,2,Hutson et al.2007,M,v30
F1149,Carey_Island_virus,Cynopterus_brachyotis,L288,wild,Isolation,2,Calisher et al. 2006,M,v30
F1166,Dengue_virus,Cynopterus_brachyotis,L350,wild,Antibodies,0,Geevarghese & Banerjee 1990,E,v30
Luis151,Issyk-Kul_virus,Cynopterus_brachyotis,,wild,Isolation,2,Calisher et al. 2006,,v30
F1203,Jugra_virus,Cynopterus_brachyotis,L579,wild,Isolation,2,Calisher et al. 2006,M,v30
F747,Nipah_virus,Cynopterus_brachyotis,NW671,wild,Isolation,2,WHO ,M,v30
F1136,Phnom_Penh_bat_virus,Cynopterus_brachyotis,L246,wild,Isolation,2,"Beran & Steele  Handbook of Zoonoses: Viral, CRC Press 1994 pg. 253-254",B,v30
F1247,Rabies_virus,Cynopterus_brachyotis,L738,wild,Isolation,2,Smith et al. 1967,E,v30
F1341,Wesselsbron_virus,Cynopterus_brachyotis,L1173,wild,Antibodies,0,Geevarghese & Banerjee 1990,E,v30
F1135,Bunyamwera_virus,Cynopterus_sphinx,L245,wild,Antibodies,0,CDC Arbocat Report 1984,M,v30
F1654,Influenza_A_virus,Cynopterus_sphinx,L512,wild,Antibodies,0,Kelkar et al. 1981,M,v30
Luis157,Japanese_encephalitis_virus,Cynopterus_sphinx,,wild,Isolation,2,Calisher et al. 2006; Sulkin & Allen 1974; Johnsen et al. 1974,,v30
F5,Kyasanur_Forest_disease_virus,Cynopterus_sphinx,V1157,wild,Isolation,2,Calisher et al. 2006,M,v30
F1214,Lagos_bat_virus,Cynopterus_sphinx,L617,wild,Antibodies,0,Bhat et al. 1978,M,v30
F1473,Canine_distemper_virus,Cystophora_cristata,MP585,wild,Antibodies,0,Stuen et al. 1994,M,v30
F1663,Influenza_A_virus,Cystophora_cristata,MP547,wild,Antibodies,0,Stuen et al. 1994,M,v30
F1666,Phocid_herpesvirus_1,Cystophora_cristata,MP525,wild,Antibodies,0,Stuen et al. 1994,M,v30
F1077,Phocine_distemper_virus,Cystophora_cristata,MP632,wild,Antibodies,0,Stuen et al. 1994,M,v30
F518,Bluetongue_virus,Dama_dama,NW89,domestic,Antibodies,0,Ruiz-Fons et al. 2008,M,v30
F202,Bovine_adenovirus_A,Dama_dama,NW134,domestic,Antibodies,0,Morse et al. 2009 ,M,v30
,Bovine_ephemeral_fever_virus,Dama_dama,,wild*,SNT,1,Aziz-Boaran et al. 2013,arw,arw
KJO087,Bovine_herpesvirus_1,Dama_dama,,wild,PCR,2,"Kalman and Egyed 2005, JWD",kjo,v30
KJO088,Bovine_herpesvirus_2,Dama_dama,,wild,PCR,2,"Kalman and Egyed 2005, JWD",kjo,v30
KJO089,Bovine_herpesvirus_4,Dama_dama,,wild,PCR,2,"Kalman and Egyed 2005, JWD",kjo,v30
F329,Epizootic_hemorrhagic_disease_virus,Dama_dama,NW344,domestic,Antibodies,0,OIE Report 2006,OIE,v30
F285,Akabane_virus,Damaliscus_lunatus,NW28,wild,Antibodies,0,Davies et al. 1985,M,v30
F527,Bluetongue_virus,Damaliscus_lunatus,NW90,wild,Antibodies,0,Hamblin et al.,NA,v30
OIE31,Bovine_viral_diarrhea_virus_1,Damaliscus_lunatus,,wild,SNT,1,Hamblin and Hedger 1979,OIE,v30
F367,Foot-and-mouth_disease_virus,Damaliscus_lunatus,NW452,wild,Antibodies,0,Hamblin et al. 1990,M,v30
F266,Crimean-Congo_hemorrhagic_fever_virus,Damaliscus_pygargus,NW259,wild,Antibodies,0,Shepherd et al. 1987,M,v30
Luis034,Bunyamwera_virus,Dasymys_incomtus,,wild,Isolation,2,Johnson et al. 1977,,v30
Luis426,Witwatersrand_virus,Dasymys_incomtus,,wild,Antibodies,0,Henderson et al. 1972,,v30
Luis084,Dengue_virus,Dasyprocta_leporina,,wild,Antibodies,0,de Thouisy et al. 2004,,arw
Luis218,Mayaro_virus,Dasyprocta_leporina,,wild,Antibodies,0,de Thoisy et al. 2003,,v30
Luis433,Yellow_fever_virus,Dasyprocta_leporina,,wild,Antibodies,0,de Thoisy et al. 2004; McIntosh 1961,,v30
,Mayaro_virus,Dasyprocta_punctata,,wild,Antibodies,0,Seymour et al. 1983 AJTMH,,kjo
OIE137,Vesicular_stomatitis_Indiana_virus,Dasyprocta_punctata,,wild,plaque reduction neutralization,1,Tesh et al. 1969,OIE,v30
F302,Eastern_equine_encephalitis_virus,Dasypus_novemcinctus,NW299,wild,Antibodies,0,Deem et al. 2009,M,v30
,Mayaro_virus,Dasypus_novemcinctus,,wild ,Antibodies,0,de Thoisy et al. 2003,,kjo
F532,St._Louis_encephalitis_virus,Dasypus_novemcinctus,NW907,wild,Antibodies,0,Day et al. 1995,M,v30
OIE72,Vesicular_stomatitis_Indiana_virus,Dasypus_novemcinctus,,wild,plaque reduction neutralization,1,Tesh et al. 1969,OIE,v30
KJO293,Cetacean_morbillivirus_virus,Delphinus_delphis,,wild,PCR,2,"Birkun Jr., A., Kuiken, T., Krivokhizhin, S., Haines, D.M., Osterhaus, A.D., van de Bildt, M.W., Joiris, C.R., Siebert, U., 1999. Epizootic of morbilliviral disease in common dolphins (Delphinus delphis ponticus) from the Black sea. Vet. Rec. 144, 85_92. ",kjo,v30
Luis398,Wesselsbron_virus,Desmodillus_auricularis,,wild,Isolation,2,Beran 1994,,v30
Luis085,Dengue_virus,Desmodus_rotundus,,wild,Antibodies,0,Price 1978,,arw
Luis144,Ilheus_virus,Desmodus_rotundus,,wild,Antibodies,0,Price 1978,,v30
F1643,Rabies_virus,Desmodus_rotundus,NA,wild,Isolation,2,Kobayashi et al. 2005,M,v30
F1298,Rio_Bravo_virus,Desmodus_rotundus,L964,wild,Antibodies,0,Ubico and McClean 1995,M,v30
F1601,Tacaribe_virus,Desmodus_rotundus,NA,wild,Antibodies,0,Price et al. 1978,M,v30
F1317,Tamana_bat_virus,Desmodus_rotundus,L1040,wild,Antibodies,0,Price 1978,M,v30
F22,Venezuelan_equine_encephalitis_virus,Desmodus_rotundus,V1806,wild,Isolation,2,Calisher et al. 2006,M,v30
OIE73,Vesicular_stomatitis_Indiana_virus,Desmodus_rotundus,,wild,plaque reduction neutralization,1,Ubico & McClean 1995,OIE,v30
F1340,Vesicular_stomatitis_New_Jersey_virus,Desmodus_rotundus,L1166,wild,Antibodies,0,Ubico and McClean 1995,M,v30
F767,Rabies_virus,Diaemus_youngi,NW754,wild,Isolation,2,Castilho et al. 2008,M,v30
OIE4,African_horse_sickness_virus,Diceros_bicornis,,wild,ELISA,0,Fischer-Tenhagen et al. 2000,OIE,v30
OIE14,Bluetongue_virus,Diceros_bicornis,,wild,ELISA,0,Fischer-Tenhagen et al. 2000,OIE,v30
OIE32,Bovine_viral_diarrhea_virus_1,Diceros_bicornis,,wild,ELISA,0,Fischer-Tenhagen et al. 2000,OIE,v30
F261,Crimean-Congo_hemorrhagic_fever_virus,Diceros_bicornis,NW254,wild,Antibodies,0,Shepherd et al. 1987,M,v30
F1659,Rabies_virus,Diclidurus_albus,L723,wild,Isolation,2,"Goodwin & Greenhall 1961 ) A review of the bats of Trinidad and Tobago: descriptions, rabies infection and ecology. Bulletin of the AMNH v. 122, article 3. ISI  search yields no results.",B,v30
KJO216,Catu_virus,Didelphis_marsupialis,,wild,Isolation,2," Shope, R. E., J. P. Woodall, and A. P. A. Travassos da Rosa. 1988. The epidemiology of disease caused by viruses in group C and Guam_ (Bunyaviridae), p. 37-52. In T. P. Monath (ed.), The arboviruses: epidemiology and ecology. CRC Press, Inc., Boca Raton, Fla.",kjo,v30
KJO226,Guama_virus,Didelphis_marsupialis,,wild,Isolation,2," Shope, R. E., J. P. Woodall, and A. P. A. Travassos da Rosa. 1988. The epidemiology of disease caused by viruses in group C and Guam_ (Bunyaviridae), p. 37-52. In T. P. Monath (ed.), The arboviruses: epidemiology and ecology. CRC Press, Inc., Boca Raton, Fla.",kjo,v30
KJO233,Marituba_virus,Didelphis_marsupialis,,wild,Isolation,2," Shope, R. E., J. P. Woodall, and A. P. A. Travassos da Rosa. 1988. The epidemiology of disease caused by viruses in group C and Guam_ (Bunyaviridae), p. 37-52. In T. P. Monath (ed.), The arboviruses: epidemiology and ecology. CRC Press, Inc., Boca Raton, Fla.",kjo,v30
,Mayaro_virus,Didelphis_marsupialis,,wild ,Antibodies,0,de Thoisy et al. 2003,,kjo
KJO239,Oriboca_virus,Didelphis_marsupialis,,wild,Isolation,2," Shope, R. E., J. P. Woodall, and A. P. A. Travassos da Rosa. 1988. The epidemiology of disease caused by viruses in group C and Guam_ (Bunyaviridae), p. 37-52. In T. P. Monath (ed.), The arboviruses: epidemiology and ecology. CRC Press, Inc., Boca Raton, Fla.",kjo,v30
F465,Patois_virus,Didelphis_marsupialis,NW715,wild,Antibodies,0,Scherer et al. 1972,M,v30
F797,St._Louis_encephalitis_virus,Didelphis_marsupialis,NW908,wild,Isolation,2,Kramer et al. 2001,M,v30
F572,Venezuelan_equine_encephalitis_virus,Didelphis_marsupialis,NW978,wild,Antibodies,0,Estrada-Franco et al. 2004,M,v30
OIE74,Vesicular_stomatitis_Indiana_virus,Didelphis_marsupialis,,wild,plaque reduction neutralization,1,Tesh et al. 1969,OIE,v30
F81,California_encephalitis_virus,Didelphis_virginiana,V367,wild,Antibodies,0,Parkin et al. 1973,M,v30
F661,Encephalomyocarditis_virus,Didelphis_virginiana,NW313,wild,Isolation,2,"Smith, Zimmerman et al. 1992",M,v30
F583,West_Nile_virus,Didelphis_virginiana,NW995,wild,Antibodies,0,Dietrich et al. 2005,M,v30
F768,Rabies_virus,Diphylla_ecaudata,NW758,wild,Isolation,2,Castilho et al. 2010 ,M,v30
OIE138,Vesicular_stomatitis_Indiana_virus,Diplomys_labilis,,wild,plaque reduction neutralization,1,Tesh et al. 1969,OIE,v30
F445,Modoc_virus,Dipodomys_heermanni,NW646,wild,Antibodies,0,Hardy et al. 1974,M,v30
F534,St._Louis_encephalitis_virus,Dipodomys_heermanni,NW910,wild,Antibodies,0,Hardy et al. 1974,M,v30
OIE139,Vesicular_stomatitis_Indiana_virus,Dipodomys_merriami,,wild,plaque reduction neutralization,1,Aguirre et al. 1992,OIE,v30
F444,Modoc_virus,Dipodomys_nitratoides,NW645,wild,Antibodies,0,Hardy et al. 1974,M,v30
F533,St._Louis_encephalitis_virus,Dipodomys_nitratoides,NW909,wild,Antibodies,0,Hardy et al. 1974,M,v30
Luis132,Hendra_virus,Dobsonia_anderseni,,wild,Antibodies,0,Field et al. unpub in Mackenzie 1999,arw,v30
Luis133,Hendra_virus,Dobsonia_moluccensis,,wild,Antibodies,0,Halpin unpub in Mackenzie 1999,arw,v30
KJO400,Macropodid_herpesvirus_2,Dorcopsis_muelleri,,wild,Isolation,2,"Johnson MA, Whalley JM, Littlejohns IR, Dickson J, Smith VW, Wilks CR, Reisner AH. Macropodid herpesviruses 1 and 2: two herpesviruses from Australian marsupials differentiated by restriction endonucleases, DNA composition and hybridization. Brief report. Arch Virol. 1985;85(3-4):313-9. PubMed PMID: 2992421.",kjo,v30
Luis134,Hendra_virus,Eidolon_dupreanum,,wild,Antibodies,0,Iehle et al. 2007,arw,v30
Luis259,Nipah_virus,Eidolon_dupreanum,,wild,Antibodies,0,Iehle et al. 2007,,kjo
F1146,Bunyamwera_virus,Eidolon_helvum,L285,wild,Antibodies,0,Geevarghesse & Banerjee 1990,E,v30
F1195,Hendra_virus,Eidolon_helvum,L499,wild,Antibodies,0,Hayman et al. 2008,M,v30
LM081,Ife_virus,Eidolon_helvum,LM081,wild,Isolation,2,Esona et al. 2010,E,v30
F1212,Lagos_bat_virus,Eidolon_helvum,L599,wild,Isolation,2,Calisher et al. 2006,M,v30
Luis223,Mokola_virus,Eidolon_helvum,,wild,Antibodies,0,Kemp et al. 1972,,v30
F1236,Nipah_virus,Eidolon_helvum,L685,wild,Antibodies,0,Hayman et al. 2008,M,v30
F1322,Usutu_virus,Eidolon_helvum,L1051,wild,Antibodies,0,Geevarghese & Banerjee 1990,E,v30
F1345,West_Nile_virus,Eidolon_helvum,L1179,wild,Antibodies,0,Geevarghese & Banerjee 1990,E,v30
F1352,Zaire_ebolavirus,Eidolon_helvum,L1217,wild,PCR,2,Leroy et al. 2004 ,E,v30
,Zika_virus,Eidolon_helvum,,wild,Antibodies,0,Simpson et al. 1968,,kjo
F593,Bluetongue_virus,Elephas_maximus,NW91,domestic,Antibodies,0,Bhat et al. 1998,"E, requested",v30
KJO067,Bovine_herpesvirus_2,Elephas_maximus,,wild,PHA,0,"Bhat, et al. 1997 JWD",kjo,v30
F1389,Foot-and-mouth_disease_virus,Elephas_maximus,NW420,wild,Isolation,2,Barman et al. 1999,arw,arw
F1532,Rabies_virus,Elephas_maximus,NA,domestic,PCR,2,Nanayakkara et al. 2003,E,v30
F1134,Australian_bat_lyssavirus,Eonycteris_spelaea,L65,wild,Antibodies,0,Lumlertdacha et al. 2005 ,M,v30
Luis440,Issyk-Kul_virus,Eonycteris_spelaea,,wild,Isolation,2,Calisher et al. 2006,,v30
F1648,Kyasanur_Forest_disease_virus,Eonycteris_spelaea,L591,wild,Antibodies,0,Bhat et al. 1978,M,v30
F748,Nipah_virus,Eonycteris_spelaea,NW672,wild,Isolation,2,Calisher et al. 2006,M,v30
F1137,Phnom_Penh_bat_virus,Eonycteris_spelaea,L247,wild,Isolation,2,"Beran & Steele  Handbook of Zoonoses: Viral, CRC Press 1994 pg. 253-254",B,v30
Luis185,Lagos_bat_virus,Epomophorus_gambianus,,wild,Antibodies,0,Dzikwi et al. 2010,,v30
F1234,Nipah_virus,Epomophorus_gambianus,L682,wild,Antibodies,0,Hayman et al. 2008,M,v30
LM141,Shamonda_virus,Epomophorus_labiatus,LM141,wild,Isolation,2,Addy et al. 1979,E,v30
F1215,Lagos_bat_virus,Epomophorus_wahlbergi,L622,wild,Isolation,2,Calisher et al. 2006,M,v30
Luis186,Lagos_bat_virus,Epomops_dobsonii,,wild,Isolation,2,Calisher et al. 2006; Johnson et al. 2010,,v30
F1217,Lake_Victoria_marburgvirus,Epomops_franqueti,L634,wild,Antibodies,0,Pourrut et al. 2009,M,v30
F769,Rift_Valley_fever_virus,Epomops_franqueti,NW783,wild,Isolation,2,Calisher et al. 2006,M,v30
LM140,Shamonda_virus,Epomops_franqueti,LM140,wild,Isolation,2,Addy et al. 1978,E,v30
F852,Zaire_ebolavirus,Epomops_franqueti,NW1047,wild,PCR,2,Leroy et al. 2004 ,E,v30
F1249,Rabies_virus,Eptesicus_brasiliensis,L743,wild,Isolation,2,Paez et al. 2003,M,v30
Luis448,Rabies_virus,Eptesicus_diminutus,,wild,Isolation,2,"[414, 422]",,v30
F1257,Rabies_virus,Eptesicus_furinalis,L779,wild,Isolation,2,Kobayashi et al. 2005,M,v30
F1171,Eastern_equine_encephalitis_virus,Eptesicus_fuscus,L356,wild,Antibodies,0,Main 1979,M,v30
F1258,Rabies_virus,Eptesicus_fuscus,L784,wild,PCR,2,Blanton et al. 2008,M,v30
F775,Rio_Bravo_virus,Eptesicus_fuscus,NW794,wild,Isolation,2,Calisher et al.  2006,M,v30
F535,St._Louis_encephalitis_virus,Eptesicus_fuscus,NW911,wild,Antibodies,0,Herbold et al. 1983 ,M,v30
F1344,West_Nile_virus,Eptesicus_fuscus,L1177,wild,Antibodies,0,Davis et al. 2005,NA,v30
F1187,European_bat_lyssavirus_1,Eptesicus_serotinus,L440,wild,Isolation,2,Calisher et al. 2006,M,v30
F712,Hantaan_virus,Eptesicus_serotinus,NW468,wild,Isolation,2,Taylor et al. (EID database); Calisher et al. ,,v30
Luis461,Issyk-Kul_virus,Eptesicus_serotinus,,wild,Isolation,2,Calisher et al. 2006; Lvov et al. 1973,,v30
F194,African_horse_sickness_virus,Equus_asinus,NW11,domestic,Antibodies,0,Baba et al. 1993,M,v30
,Borna_disease_virus,Equus_asinus,,domestic,PCR,2,Zhang et al. 2014 ,arw,arw
KJO420,Bovine_papillomavirus_1,Equus_asinus,,domestic,PCR,2,"Nasir, L., E. Gault, I. M. Morgan, G. Chambers, V. Ellsmore, and M. S. Campo, 2007: Identification and functional analysis of sequence variants in the long control region and the E2 open reading frame of bovine papillomavirus type 1 isolated from equine sarcoids. Virology364, 355_361.",kjo,v30
LM210,Equid_herpesvirus_7,Equus_asinus,,domestic,isolation,2,"Bell SA, Pusterla N, Balasuriya UB, Mapes SM, Nyberg NL, MacLachlan NJ. Isolation of a gammaherpesvirus similar to asinine herpesvirus-2 (AHV-2) from a mule and a survey of mules and donkeys for AHV-2 infection by real-time PCR. Vet Microbiol. 2008 Jul 27;130(1-2):176-83. doi: 10.1016/j.vetmic.2007.12.013. Epub 2008 Jan 3. PubMed PMID: 18280676.",LM,v30
LM225,Equid_herpesvirus_8,Equus_asinus,,domestic,isolation,2,"Browning GF, Ficorilli N, Studdert MJ. Asinine herpesvirus genomes: comparison with those of the equine herpesviruses. Arch Virol. 1988;101(3-4):183-90. PubMed PMID: 2845891.",LM,v30
OIE47,Equine_arteritis_virus,Equus_asinus,,domestic,PCR,2,Stadejek et al. 2006,OIE,v30
F337,Equine_encephalosis_virus,Equus_asinus,NW359,domestic,Antibodies,0,Lord et al. 2002,E,v30
F92,Human_picobirnavirus,Equus_asinus,V1109,captive,PAGE,0,Masachessi et al. 2007,M,v30
KJO005,Rabies_virus,Equus_asinus,KJO005,domestic,Direct Fluorescent Antibody Testing,0,Jungeblut et al. 1943,E,v30
F562,Thogoto_virus,Equus_asinus,NW953,domestic,Antibodies,0,Jones et al. 1987,M,v30
F138,Venezuelan_equine_encephalitis_virus,Equus_asinus,V1808,domestic,Isolation,2,Hearn et al. 1960,NA,v30
F1612,Vesicular_exanthema_of_swine_virus,Equus_asinus,NA,domestic,Antibodies,0,Smith et al. 1978,"M, requested",v30
F579,Vesicular_stomatitis_Indiana_virus,Equus_asinus,NW988,domestic,Antibodies,0,Fletcher et al. 1985,M,v30
LM174,Wesselsbron_virus,Equus_asinus,LM174,domestic,Antibodies,0,Baba et al. 1994,E,v30
F199,African_horse_sickness_virus,Equus_caballus,NW13,domestic,Antibodies,0,Baba et al. 1993,M,v30
F231,Akabane_virus,Equus_caballus,NW22,domestic,Antibodies,0,Davies et al. 1985,M,v30
F714,Anopheles_A_virus,Equus_caballus,NW48,domestic,Isolation,2,,M,v30
F608,Aura_virus,Equus_caballus,NW57,domestic,Hemagglutination inhibition assay; Neutralization test,0,Sabattini et al. 1965,M,v30
F448,Barmah_Forest_virus,Equus_caballus,NW65,domestic,Antibodies,0,Kay et al. 2007,M,v30
F856,Borna_disease_virus,Equus_caballus,NW118,domestic,PCR,2,Dauphin et al. 2001,M,v30
KJO419,Bovine_papillomavirus_1,Equus_caballus,,domestic,PCR,2,"Nasir, L., E. Gault, I. M. Morgan, G. Chambers, V. Ellsmore, and M. S. Campo, 2007: Identification and functional analysis of sequence variants in the long control region and the E2 open reading frame of bovine papillomavirus type 1 isolated from equine sarcoids. Virology364, 355_361.",kjo,v30
KJO201,Bunyamwera_virus,Equus_caballus,,domestic,Isolation,2,"Calisher et al. 1986, Am J. Trop. Med. Hyg 35(2): 429-443.""Distribution of Bunyamwera serogroup viruses in N. America, 1956-1984""",kjo,v30
F639,Cabassou_virus,Equus_caballus,NW179,domestic,Isolation,2,Digoutte et al. 1976,M,v30
F111,California_encephalitis_virus,Equus_caballus,V368,domestic,Isolation,2,"Mahy, BJ The Dictionary of Virology,  Academic Press 2009",B,v30
,Colorado_tick_fever_virus,Equus_caballus,,domestic,Antibodies,0,"Emmons, 1994",arw,arw
F236,Corriparta_virus,Equus_caballus,NW230,domestic,Antibodies,0,Doherty et al. 1970,M,v30
F658,Eastern_equine_encephalitis_virus,Equus_caballus,NW300,domestic,Isolation,2,Chenier et al. 2010,E,v30
F662,Encephalomyocarditis_virus,Equus_caballus,NW314,domestic,Isolation,2,Tesh and Wallace 1978,M,v30
LM223,Equid_herpesvirus_1,Equus_caballus,,domestic,Antibodies,0,"Martinov, SP Chenchev, I Yordanov, S Nordengrahn, A AF Martinov, SP Chenchev, I Yordanov, S Nordengrahn, A Equine herpesvirus infections in Bulgaria  BIOTECHNOLOGY & BIOTECHNOLOGICAL EQUIPMENT  2000 VL 14 IS 1 60-62 ",ILL,v30
LM208,Equid_herpesvirus_2,Equus_caballus,,domestic,Antibodies,0,"Vengust M, Baird JD, van Dreumel T, Ackerley C, Bienzle D. Equid herpesvirus 2-associated oral and esophageal ulceration in a foal. J Vet Diagn Invest. 2008 Nov;20(6):811-5. PubMed PMID: 18987236.",LM,v30
LM224,Equid_herpesvirus_3,Equus_caballus,,domestic,PCR,2,"Barrandeguy M, Vissani A, Lezica FP, Salamone J, Heguy A, Becerra L, Olguin Perglione C, Thiry E. Subclinical infection and periodic shedding of equid herpesvirus 3. Theriogenology. 2010 Sep 1;74(4):576-80. doi: 10.1016/j.theriogenology.2010.03.014. Epub 2010 May 23. PubMed PMID: 20494427.",LM,v30
LM031,Equid_herpesvirus_4,Equus_caballus,LM031,domestic,PCR,2,Gilkerson et al. 1994,E,v30
LM209,Equid_herpesvirus_5,Equus_caballus,,domestic,PCR,2,"Fortier G, Pronost S, Miszczak F, Fortier C, L_on A, Richard E, Van Erck E, Thiry E, Lekeux P. Identification of equid herpesvirus-5 in respiratory liquids: a retrospective study of 785 samples taken in 2006-2007. Vet J. 2009 Nov;182(2):346-8. doi: 10.1016/j.tvjl.2008.07.004. Epub 2008 Aug 30. PubMed PMID: 18757217.",LM,v30
F679,Equid_herpesvirus_9,Equus_caballus,NW349,domestic,Isolation,2,Borchers et al. 2005,M,v30
F334,Equine_adenovirus_A,Equus_caballus,NW355,domestic,Antibodies,0,Giles et al. 2010,M,v30
F335,Equine_adenovirus_B,Equus_caballus,NW356,domestic,Antibodies,0,Giles et al. 2010,M,v30
F877,Equine_arteritis_virus,Equus_caballus,NW357,domestic,PCR,2,Pronost et al. 2010,"E, requested",v30
F336,Equine_encephalosis_virus,Equus_caballus,NW358,domestic,Antibodies,0,Paweska et al. 2004,M,v30
KJO390,Equine_foamy_virus,Equus_caballus,,domestic,Isolation,2,"Tobaly-Tapiero J, Bittoun P, Neves M, Guillemin MC, Lecellier CH, Puvion-Dutilleul F, Gicquel B, Zientara S, Giron ML, de Th_ H, Sa_b A. Isolation and characterization of an equine foamy virus. J Virol. 2000 May;74(9):4064-73. PubMed PMID: 10756018; PubMed Central PMCID: PMC111920.",kjo,v30
F879,Equine_infectious_anemia_virus,Equus_caballus,NW361,domestic,PCR,2,Cappelli et al. 2011,M,v30
KJO432,Equine_papillomavirus_1,Equus_caballus,,domestic,Isolation,2,"M. Hamada, T. Oyamada, H. Yoshikawa, T. Yoshikawa, C. Itakura Histopathological development of equine cutaneous papillomas J. Comp. Pathol., 102 (1990), pp. 393_403",kjo,v30
LM032,Equine_rhinitis_A_virus,Equus_caballus,LM032,domestic,Isolation,2,Plummer 1962,E,v30
KJO340,Equine_rhinitis_B_virus,Equus_caballus,,captive,Isolation,2,"Dynon K, Black WD, Ficorilli N, Hartley CA, Studdert MJ. Detection of viruses in nasal swab samples from horses with acute, febrile, respiratory disease using virus isolation, polymerase chain reaction and serology. Aust Vet J. 2007 Jan-Feb;85(1-2):46-50. Erratum in: Aust Vet J. 2007 Apr;85(4):165. PubMed PMID: 17300454.",kjo,v30
F683,Equine_torovirus,Equus_caballus,NW362,domestic,Isolation,2,"Mahy, BJ The Dictionary of Virology,  Academic Press 2009",B,v30
LM046,Gan_Gan_virus,Equus_caballus,LM046,domestic,Antibodies,0,Vale et al. 1991,E,v30
F706,Getah_virus,Equus_caballus,NW458,domestic,Isolation,2,Attoui et al. 2007,M,v30
F1000,Hendra_virus,Equus_caballus,NW471,domestic,Isolation,2,Tulsiani et al. 2011,M,v30
F388,Highlands_J_virus,Equus_caballus,NW505,domestic,Antibodies,0,Attoui et al. 2007,M,v30
,Human_picobirnavirus,Equus_caballus,,domestic,PCR,2,Ganesh et al. 2011,arw,arw
,Ilheus_virus,Equus_caballus,,domestic,PRNT,1,Pauvolid-Correa et al. 2014,arw,arw
,Kairi_virus,Equus_caballus,,domestic,Isolation,2,"Calisher et al 1988, AJTMH",,kjo
,Kokobera_virus,Equus_caballus,,domestic,Antibodies,0,Prow et al. 2013,,kjo
KJO163,Main_Drain_virus,Equus_caballus,,domestic,Isolation,2,Emmons et al. J Am Vet Med Assoc. 1983 Sep 1;183(5):555-8.,kjo,v30
F927,Middelburg_virus,Equus_caballus,NW639,domestic,PCR,2,Attoui et al. 2007,M,v30
,Murray_Valley_encephalitis_virus,Equus_caballus,,domestic,Antibodies,0,Prow et al. 2013,,kjo
KJO370,Peruvian_horse_sickness_virus,Equus_caballus,,domestic,Isolation,2,"Attoui H, Mendez-Lopez MR, Rao S, Hurtado-Alendes A, Lizaraso-Caparo F, Jaafar FM, Samuel AR, Belhouchet M, Pritchard LI, Melville L, Weir RP, Hyatt AD, Davis SS, Lunt R, Calisher CH, Tesh RB, Fujita R, Mertens PP. Peruvian horse sickness virus and Yunnan orbivirus, isolated from vertebrates and mosquitoes in Peru and Australia. Virology. 2009 Nov 25;394(2):298-310. doi: 10.1016/j.virol.2009.08.032.",kjo,v30
KJO003,Rabies_virus,Equus_caballus,KJO003,domestic,Direct Fluorescent Antibody Testing,0,Kipar et al. 2010,E,v30
KJO320,Salem_virus,Equus_caballus,,domestic,Isolation,2,"Renshaw RW, Glaser AL, Van Campen H, Weiland F, Dubovi EJ. Identification and phylogenetic comparison of Salem virus, a novel paramyxovirus of horses. Virology. 2000 May 10;270(2):417-29. PubMed PMID: 10793001.",kjo,v30
F496,Semliki_Forest_virus,Equus_caballus,NW831,domestic,Antibodies,0,"Krauss, H Zoonoses: infectious diseases transmissible from animals to humans, ASM Press 2003",B,v30
KJO037,Sepik_virus,Equus_caballus,KJO037,domestic,Antibodies,0,Olson et al. 1983,E,v30
,Shuni_virus,Equus_caballus,,domestic,Isolation,2,van Eeden et al. 2012,arw,arw
F536,St._Louis_encephalitis_virus,Equus_caballus,NW912,domestic,Antibodies,0,Monath et al. 1985,M,v30
KJO999,Suid_herpesvirus_1,Equus_caballus,,domestic,"Cell culture, PCR",2,"Kimman et al., 1991",OIE,v30
LM162,Trubanaman_virus,Equus_caballus,LM162,domestic,Antibodies,0,Johansen et al. 2005,E,v30
F1602,Turlock_virus,Equus_caballus,NA,domestic,Antibodies,0,Sabattini et al. 1965,M,v30
F568,Una_virus,Equus_caballus,NW967,domestic,Antibodies,0,Diaz et al. 2003,M,v30
