"","sourceOccurrenceId","sourceTaxonId","sourceTaxonName","sourceTaxonOrder","sourceTaxonFamily","sourceTaxonGenus","sourceBodyPartId","sourceBodyPartName","sourceLifeStageId","sourceLifeStageName","interactionTypeId","interactionTypeName","targetOccurrenceId","targetTaxonId","targetTaxonName","targetTaxonOrder","targetTaxonFamily","targetTaxonGenus","targetBodyPartId","targetBodyPartName","targetLifeStageId","targetLifeStageName","localityId","localityName","decimalLatitude","decimalLongitude","observationDateTime","referenceDoi","referenceUrl","referenceCitation"
"313","","","Wad Medani virus","Unassigned","Reoviridae","Orbivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bos taurus","CETARTIODACTYLA","BOVIDAE","Bos","","","","","","","","","","","","Darwish MA, Hoogstraal H, Roberts TJ, Ghazi R, and Amer T (1983). A sero-epidemiological survey for Bunyaviridae and certain other arboviruses in Pakistan. Transactions of the Royal Society of Tropical Medicine and Hygiene 77:446-450."
"314","","","Wesselsbron virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bos taurus","CETARTIODACTYLA","BOVIDAE","Bos","","","","","","","","","","","","Baba S, Fagbami A, Ojeh C, Olaleye OD, and Omilabu S (1995). Wesselsbron virus antibody in domestic animals in Nigeria: retrospective and prospective studies. The new microbiologica 18:151-162."
"315","","","Wongorr virus","Unassigned","Reoviridae","Orbivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bos taurus","CETARTIODACTYLA","BOVIDAE","Bos","","","","","","","","","","","","Doherty RL, Carley JG, Standfas.Ha, Dyce AL, Kay BH, and Snowdon WA (1973). Isolation of arboviruses from mosquitos, biting midges, sandflies and verterbrates collected in Queensland, 1969 and 1970 Transactions of the Royal Society of Tropical Medicine and Hygiene 67:536-543."
"316","","","Foot-and-mouth disease virus","Picornavirales","Picornaviridae","Aphthovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Boselaphus tragocamelus","CETARTIODACTYLA","BOVIDAE","Boselaphus","","","","","","","","","","","","Subramaniam S, Pattnaik B, Sanyal A, Mohapatra JK, Pawar SS, Sharma GK, Das B, Dash BB (2013). Status of Foot_and_mouth Disease in India. Transboundary and emerging diseases 60(3):197-203."
"317","","","Marituba virus","Unassigned","Bunyaviridae","Orthobunyavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bradypus tridactylus","PILOSA","BRADYPODIDAE","Bradypus","","","","","","","","","","","","Shope RE, Woodall JP, and Travassos da Rosa APA (1988). The epidemiology of diseases caused by viruses in groups C and Guama (Bunyaviridae). The Arboviruses: Epidemiology and Ecology:37-52."
"318","","","Mayaro virus","Unassigned","Togaviridae","Alphavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bradypus tridactylus","PILOSA","BRADYPODIDAE","Bradypus","","","","","","","","","","","","de Thoisy B, Gardon J, Salas RA, Morvan J, and Kazanji M (2003). Mayaro virus in wild mammals, French Guiana. Emerging infectious diseases 9:1326-1329."
"319","","","St. Louis encephalitis virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bradypus tridactylus","PILOSA","BRADYPODIDAE","Bradypus","","","","","","","","","","","","de Thoisy B, Dussart P, and Kazanji M (2004). Wild terrestrial rainforest mammals as potential reservoirs for flaviviruses (yellow fever, dengue 2 and St Louis encephalitis viruses) in French Guiana. Transactions of the Royal Society of Tropical Medicine and Hygiene 98:409-412."
"320","","","Changuinola virus","Unassigned","Reoviridae","Orbivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bradypus variegatus","PILOSA","BRADYPODIDAE","Bradypus","","","","","","","","","","","","Seymour C, Peralta PH, and Montgomery GG (1983b). Viruses isolated from Panamanian sloths. The American journal of tropical medicine and hygiene 32:1435-1444."
"321","","","Punta Toro virus","Unassigned","Bunyaviridae","Phlebovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bradypus variegatus","PILOSA","BRADYPODIDAE","Bradypus","","","","","","","","","","","","Seymour C, Peralta PH, and Montgomery GG (1983b). Viruses isolated from Panamanian sloths. The American journal of tropical medicine and hygiene 32:1435-1444."
"322","","","St. Louis encephalitis virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bradypus variegatus","PILOSA","BRADYPODIDAE","Bradypus","","","","","","","","","","","","Seymour C, Peralta PH, and Montgomery GG (1983a). Serologic evidence of natural togavirus infections in Panamanian sloths and other vertebrates. The American journal of tropical medicine and hygiene 32:854-861."
"323","","","Vesicular stomatitis Indiana virus","Mononegavirales","Rhabdoviridae","Vesiculovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bradypus variegatus","PILOSA","BRADYPODIDAE","Bradypus","","","","","","","","","","","","Tesh RB, Peralta PH, and Johnson KM (1969). Ecologic studies of vesicular stomatitis virus. I. Prevalence of infection among animals and humans living in an area of endemic VSV activity. American journal of epidemiology 90:255-261."
"324","","","Bovine immunodeficiency virus","Unassigned","Retroviridae","Lentivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bubalus arnee","CETARTIODACTYLA","BOVIDAE","Bubalus","","","","","","","","","","","","Meas S, Seto J, Sugimoto C, Bakhsh M, Riaz M, Sato T, et al. (2000). Infection of Bovine Immunodeficiency Virus and Bovine Leukemia Virus in Water Buffalo and Cattle Populations in Pakistan. Japanese Society of Veterinary Science 62:329-331."
"325","","","Bivens Arm virus","Mononegavirales","Rhabdoviridae","Unassigned","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bubalus bubalis","CETARTIODACTYLA","BOVIDAE","Bubalus","","","","","","","","","","","","Gibbs EP, Calisher CH, Tesh RB, Lazuick JS, Bowen R, Greiner EC (1989). Bivens arm virus: a new rhabdovirus isolated from Culicoides insignis in Florida and related to Tibrogargan virus of Australia. Veterinary microbiology 19(2):141-50."
"326","","","Bovine ephemeral fever virus","Mononegavirales","Rhabdoviridae","Ephemerovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bubalus bubalis","CETARTIODACTYLA","BOVIDAE","Bubalus","","","","","","","","","","","","Aziz-Boaron O, Brettschneider S, King R, Gelman B, and Klement E (2013). Seroprevalence of Bovine Ephemeral Fever Virus in Domesticated and Wildlife Species during Epidemic and Inter_epidemic Periods (2000_2009) in Israel. Transboundary and emerging diseases 62:183-187."
"327","","","Bovine leukemia virus","Unassigned","Retroviridae","Deltaretrovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bubalus bubalis","CETARTIODACTYLA","BOVIDAE","Bubalus","","","","","","","","","","","",NA
"328","","","Bovine parainfluenza virus 3","Mononegavirales","Paramyxoviridae","Respirovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bubalus bubalis","CETARTIODACTYLA","BOVIDAE","Bubalus","","","","","","","","","","","","Maidana SS, Lomonaco PM, Combessies G, Craig MI, Diodati J, Rodriguez D, et al. (2012). Isolation and characterization of bovine parainfluenza virus type 3 from water buffaloes (Bubalus bubalis) in Argentina. BMC veterinary research 8."
"329","","","Bovine viral diarrhea virus 1","Unassigned","Flaviviridae","Pestivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bubalus bubalis","CETARTIODACTYLA","BOVIDAE","Bubalus","","","","","","","","","","","","Craig MI, Venzano a, K_nig G, Morris WE, Jim_nez L, Julià S, et al. (2008). Detection of bovine viral diarrhoea virus (BVDV) nucleic acid and antigen in different organs of water buffaloes (Bubalus bubalis). Research in Veterinary Science 85:194-196."
"330","","","Bubaline herpesvirus 1","Herpesvirales","Herpesviridae","Varicellovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bubalus bubalis","CETARTIODACTYLA","BOVIDAE","Bubalus","","","","","","","","","","","","De Carlo E, Re GN, Letteriello R, Del Vecchio V, Giordanelli MP, Magnino S, et al. (2004). Molecular characterisation of a field strain of bubaline herpesvirus isolated from buffaloes (Bubalus bubalis) after pharmacological reactivation. Veterinary Record 154:171-174."
"331","","","Caraparu virus","Unassigned","Bunyaviridae","Orthobunyavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bubalus bubalis","CETARTIODACTYLA","BOVIDAE","Bubalus","","","","","","","","","","","","Casseb AR, Cruz AV, Jesus IS, Chiang JO, and Martins LC (2014). Seroprevalence of flaviviruses antibodies in water buffaloes (Bubalus bubalis) in Brazilian Amazon. The journal of venomous animals and toxins including tropical diseases 20:9."
"332","","","Catu virus","Unassigned","Bunyaviridae","Orthobunyavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bubalus bubalis","CETARTIODACTYLA","BOVIDAE","Bubalus","","","","","","","","","","","","Casseb AR, Cruz AV, Jesus IS, Chiang JO, and Martins LC (2014). Seroprevalence of flaviviruses antibodies in water buffaloes (Bubalus bubalis) in Brazilian Amazon. The journal of venomous animals and toxins including tropical diseases 20:9."
"333","","","Crimean-Congo hemorrhagic fever virus","Unassigned","Bunyaviridae","Nairovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bubalus bubalis","CETARTIODACTYLA","BOVIDAE","Bubalus","","","","","","","","","","","","Darwish MA, Hoogstraal H, Roberts TJ, Ghazi R, and Amer T (1983). A sero-epidemiological survey for Bunyaviridae and certain other arboviruses in Pakistan. Transactions of the Royal Society of Tropical Medicine and Hygiene 77:446-450."
"334","","","Foot-and-mouth disease virus","Picornavirales","Picornaviridae","Aphthovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bubalus bubalis","CETARTIODACTYLA","BOVIDAE","Bubalus","","","","","","","","","","","","Ghoneim NH, Abdel-Karim AKM, El-Shehawy L, and Abdel-Moein KA (2010). Foot and Mouth Disease in Animals in Sharkia Governorate - Egypt. Transboundary and emerging diseases 57:19-21."
"335","","","Guaroa virus","Unassigned","Bunyaviridae","Orthobunyavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bubalus bubalis","CETARTIODACTYLA","BOVIDAE","Bubalus","","","","","","","","","","","","Casseb AR, Cruz AV, Jesus IS, Chiang JO, and Martins LC (2014). Seroprevalence of flaviviruses antibodies in water buffaloes (Bubalus bubalis) in Brazilian Amazon. The journal of venomous animals and toxins including tropical diseases 20:9."
"336","","","Oropouche virus","Unassigned","Bunyaviridae","Orthobunyavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bubalus bubalis","CETARTIODACTYLA","BOVIDAE","Bubalus","","","","","","","","","","","","Casseb AR, Cruz AV, Jesus IS, Chiang JO, and Martins LC (2014). Seroprevalence of flaviviruses antibodies in water buffaloes (Bubalus bubalis) in Brazilian Amazon. The journal of venomous animals and toxins including tropical diseases 20:9."
"337","","","Ovine herpesvirus 2","Herpesvirales","Herpesviridae","Rhadinovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bubalus bubalis","CETARTIODACTYLA","BOVIDAE","Bubalus","","","","","","","","","","","","Wiyono A, Baxter SIF, Saepulloh M, Damayanti R, Daniels P, and Reid HW (1994). PCR detection of ovine herpesvirus-2 DNA in Indonesian ruminants  normal sheep and clinical cases of malignant catarrhal fever. Veterinary microbiology 42:45-52."
"338","","","Peste-des-petits-ruminants virus","Mononegavirales","Paramyxoviridae","Morbillivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bubalus bubalis","CETARTIODACTYLA","BOVIDAE","Bubalus","","","","","","","","","","","","Govindarajan R, Koteeswaran A, Venugopalan AT, Shyam G, Shaouna S, Shaila MS, et al. (1997). Isolation of pestes des petits ruminants virus from an outbreak in Indian buffalo (Bubalus bubalis). The Veterinary Record 141:573-574."
"339","","","Rinderpest virus","Mononegavirales","Paramyxoviridae","Morbillivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bubalus bubalis","CETARTIODACTYLA","BOVIDAE","Bubalus","","","","","","","","","","","","Chamberlain RW, Wamwayi HM, Hockley E, Shaila MS, Goatley L, Knowles NJ, et al. (1993). Evidence for different lineages of rinderpest virus reflecting their geographic isolation. Journal of General Virology 74:2775-2780."
"340","","","Sepik virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bubalus bubalis","CETARTIODACTYLA","BOVIDAE","Bubalus","","","","","","","","","","","","Olson JG, Ksiazek TG, Gubler DJ, Lubis SI, Simanjuntak G, Lee VH, Nalim S, Juslis K, See R (1983). A survey for arboviral antibodies in sera of humans and animals in lombok, Republic of Indonesia. Annals of Tropical Medicine and Parasitology 77:131-137."
"341","","","Tacaiuma virus","Unassigned","Bunyaviridae","Orthobunyavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bubalus bubalis","CETARTIODACTYLA","BOVIDAE","Bubalus","","","","","","","","","","","","Casseb AR, Cruz AV, Jesus IS, Chiang JO, and Martins LC (2014). Seroprevalence of flaviviruses antibodies in water buffaloes (Bubalus bubalis) in Brazilian Amazon. The journal of venomous animals and toxins including tropical diseases 20:9."
"342","","","Wad Medani virus","Unassigned","Reoviridae","Orbivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Bubalus bubalis","CETARTIODACTYLA","BOVIDAE","Bubalus","","","","","","","","","","","","Darwish MA, Hoogstraal H, Roberts TJ, Ghazi R, and Amer T (1983). A sero-epidemiological survey for Bunyaviridae and certain other arboviruses in Pakistan. Transactions of the Royal Society of Tropical Medicine and Hygiene 77:446-450."
"343","","","Vesicular stomatitis Indiana virus","Mononegavirales","Rhabdoviridae","Vesiculovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Cabassous centralis","CINGULATA","DASYPODIDAE","Cabassous","","","","","","","","","","","","Tesh RB, Peralta PH, and Johnson KM (1969). Ecologic studies of vesicular stomatitis virus. I. Prevalence of infection among animals and humans living in an area of endemic VSV activity. American journal of epidemiology 90:255-261."
"344","","","Vesicular stomatitis Indiana virus","Mononegavirales","Rhabdoviridae","Vesiculovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Callithrix geoffroyi","PRIMATES","CALLITRICHIDAE","Callithrix","","","","","","","","","","","","Tesh RB, Peralta PH, and Johnson KM (1969). Ecologic studies of vesicular stomatitis virus. I. Prevalence of infection among animals and humans living in an area of endemic VSV activity. American journal of epidemiology 90:255-261."
"345","","","Callitrichine herpesvirus 3","Herpesvirales","Herpesviridae","Lymphocryptovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Callithrix jacchus","PRIMATES","CALLITRICHIDAE","Callithrix","","","","","","","","","","","","Ramer JC, Garber RL, Steele KE, Boyson JF, O'Rourke C, and Thomson JA (2000). Fatal lymphoproliferative disease associated with a novel gammaherpesvirus in a captive population of common marmosets. Comparative Medicine 50:59-68."
"346","","","Encephalomyocarditis virus","Picornavirales","Picornaviridae","Cardiovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Callithrix jacchus","PRIMATES","CALLITRICHIDAE","Callithrix","","","","","","","","","","","","Canelli E, Luppi A, Lavazza A, Lelli D, Sozzi E, Martin AMM, et al. (2010). Encephalomyocarditis virus infection in an Italian zoo. Virology journal 7:64."
"347","","","GB virus A","Unassigned","Flaviviridae","Unassigned","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Callithrix jacchus","PRIMATES","CALLITRICHIDAE","Callithrix","","","","","","","","","","","","Bukh J, and Apgar CL (1997). Five new or recently discovered (GBV-A) virus species are indigenous to New World monkeys and may constitute a separate genus of the Flaviviridae. Virology 229:429-436."
"348","","","Human herpesvirus 1","Herpesvirales","Herpesviridae","Simplexvirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Callithrix jacchus","PRIMATES","CALLITRICHIDAE","Callithrix","","","","","","","","","","","","Matz-Rensing K, Jentsch K, Rensing S, Langenhuyzen S, Verschoor E, Niphuis H, et al. (2003). Fatal herpes simplex infection in a group of common marmosets (Callithrix jacchus). Veterinary Pathology Online 40:405-411."
"349","","","Human herpesvirus 1","Herpesvirales","Herpesviridae","Simplexvirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Callithrix jacchus","PRIMATES","CALLITRICHIDAE","Callithrix","","","","","","","","","","","","Huemer HP, Larcher C, Czedik-Eysenberg T, Nowotny N, and Reifinger M (2002). Fatal infection of a pet monkey with human herpesvirus 1. Emerging infectious diseases 8:639-642."
"350","","","Sendai virus","Mononegavirales","Paramyxoviridae","Respirovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Callithrix jacchus","PRIMATES","CALLITRICHIDAE","Callithrix","","","","","","","","","","","","Flecknell PA, Parry R, Needham JR, Ridley RM, Baker HF, and Bowes P (1983). Respiratory-diseases associated with para-influenza type I (Sendai) virus in a colony of marmosets (Callithrix jacchus). Laboratory Animals 17:111-113."
"351","","","Simian foamy virus","Unassigned","Retroviridae","Spumavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Callithrix jacchus","PRIMATES","CALLITRICHIDAE","Callithrix","","","","","","","","","","","","Voevodin A, and Marx PA (2009). Simian Virology."
"352","","","Laguna Negra virus","Unassigned","Bunyaviridae","Hantavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Calomys callosus","RODENTIA","CRICETIDAE","Calomys","","","","","","","","","","","","Levis S, Garcia J, Pini N, CalderÑn G, RamÕrez J, Bravo D, et al. (2004). Hantavirus pulmonary syndrome in northwestern Argentina: circulation of Laguna Negra virus associated with Calomys callosus. The American journal of tropical medicine and hygiene 71:658-663."
"353","","","Latino virus","Unassigned","Arenaviridae","Arenavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Calomys callosus","RODENTIA","CRICETIDAE","Calomys","","","","","","","","","","","","Webb PA, Justines G, and Johnson KM (1975). Infection of wild and laboratory-animals with Machupo and Latino viruses. Bulletin of the World Health Organization 52:493-499."
"354","","","Lebombo virus","Unassigned","Reoviridae","Orbivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Calomys callosus","RODENTIA","CRICETIDAE","Calomys","","","","","","","","","","","","Brown SE, Morrison HG, Karabatsos N, and Knudson DL (1991). Genetic relatedness of two new Orbivirus serogroups: Orungo and Lebombo. The Journal of general virology 72 ( Pt 5):1065-1072."
"355","","","Machupo virus","Unassigned","Arenaviridae","Arenavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Calomys callosus","RODENTIA","CRICETIDAE","Calomys","","","","","","","","","","","","Webb PA, Justines G, and Johnson KM (1975). Infection of wild and laboratory-animals with Machupo and Latino viruses. Bulletin of the World Health Organization 52:493-499."
"356","","","Mason-Pfizer monkey virus","Unassigned","Retroviridae","Betaretrovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Calomys callosus","RODENTIA","CRICETIDAE","Calomys","","","","","","","","","","","","Diehl WE, Stansell E, Kaiser SM, Emerman M, and Hunter E (2008). Identification of postentry restrictions to Mason-Pfizer monkey virus infection in New World monkey cells. Journal of virology 82:11140-11151."
"357","","","Junin virus","Unassigned","Arenaviridae","Arenavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Calomys laucha","RODENTIA","CRICETIDAE","Calomys","","","","","","","","","","","","Gonzalez JP, Emonet S, de Lamballerie X, and Charrel R (2007). Arenaviruses. Current topics in microbiology and immunology 315:253-288."
"358","","","Laguna Negra virus","Unassigned","Bunyaviridae","Hantavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Calomys laucha","RODENTIA","CRICETIDAE","Calomys","","","","","","","","","","","",NA
"359","","","Junin virus","Unassigned","Arenaviridae","Arenavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Calomys musculinus","RODENTIA","CRICETIDAE","Calomys","","","","","","","","","","","","Gonzalez JP, Emonet S, de Lamballerie X, and Charrel R (2007). Arenaviruses. Current topics in microbiology and immunology 315:253-288."
"360","","","St. Louis encephalitis virus","Unassigned","Flaviviridae","Flavivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Calomys musculinus","RODENTIA","CRICETIDAE","Calomys","","","","","","","","","","","","Kramer LD, and Chandler LJ (2001). Phylogenetic analysis of the envelope gene of St. Louis encephalitis virus. Archives of Virology 146:2341-2355."
"361","","","Andes virus","Unassigned","Bunyaviridae","Hantavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Calomys tener","RODENTIA","CRICETIDAE","Calomys","","","","","","","","","","","",NA
"362","","","Vesicular stomatitis Indiana virus","Mononegavirales","Rhabdoviridae","Vesiculovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Caluromys derbianus","DIDELPHIMORPHIA","DIDELPHIDAE","Caluromys","","","","","","","","","","","","Tesh RB, Peralta PH, and Johnson KM (1969). Ecologic studies of vesicular stomatitis virus. I. Prevalence of infection among animals and humans living in an area of endemic VSV activity. American journal of epidemiology 90:255-261."
"363","","","Caraparu virus","Unassigned","Bunyaviridae","Orthobunyavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Caluromys philander","DIDELPHIMORPHIA","DIDELPHIDAE","Caluromys","","","","","","","","","","","","Shope RE, Woodall JP, and Travassos da Rosa APA (1988). The epidemiology of diseases caused by viruses in groups C and Guama (Bunyaviridae). The Arboviruses: Epidemiology and Ecology:37-52."
"364","","","Guama virus","Unassigned","Bunyaviridae","Orthobunyavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Caluromys philander","DIDELPHIMORPHIA","DIDELPHIDAE","Caluromys","","","","","","","","","","","","Shope RE, Woodall JP, and Travassos da Rosa APA (1988). The epidemiology of diseases caused by viruses in groups C and Guama (Bunyaviridae). The Arboviruses: Epidemiology and Ecology:37-52."
"365","","","Marituba virus","Unassigned","Bunyaviridae","Orthobunyavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Caluromys philander","DIDELPHIMORPHIA","DIDELPHIDAE","Caluromys","","","","","","","","","","","","Shope RE, Woodall JP, and Travassos da Rosa APA (1988). The epidemiology of diseases caused by viruses in groups C and Guama (Bunyaviridae). The Arboviruses: Epidemiology and Ecology:37-52."
"366","","","Mayaro virus","Unassigned","Togaviridae","Alphavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Caluromys philander","DIDELPHIMORPHIA","DIDELPHIDAE","Caluromys","","","","","","","","","","","","de Thoisy B, Gardon J, Salas RA, Morvan J, and Kazanji M (2003). Mayaro virus in wild mammals, French Guiana. Emerging infectious diseases 9:1326-1329."
"367","","","Crimean-Congo hemorrhagic fever virus","Unassigned","Bunyaviridae","Nairovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Camelus bactrianus","CETARTIODACTYLA","CAMELIDAE","Camelus","","","","","","","","","","","","Morrill JC, Soliman AK, Imam IZ, Botros BA, Moussa MI, and Watts DM (1990). Serological evidence of Crimean-Congo haemorrhagic fever viral infection among camels imported into Egypt. The Journal of tropical medicine and hygiene 93:201-204."
"368","","","Dugbe virus","Unassigned","Bunyaviridae","Nairovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Camelus bactrianus","CETARTIODACTYLA","CAMELIDAE","Camelus","","","","","","","","","","","","Morrill JC, Soliman AK, Imam IZ, Botros BA, Moussa MI, and Watts DM (1990). Serological evidence of Crimean-Congo haemorrhagic fever viral infection among camels imported into Egypt. The Journal of tropical medicine and hygiene 93:201-204."
"369","","","African horse sickness virus","Unassigned","Reoviridae","Orbivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Camelus dromedarius","CETARTIODACTYLA","CAMELIDAE","Camelus","","","","","","","","","","","","Baba S, Olaleye OD, and Ayanbadejo OA (1993). Haemagglutination-inhibiting antibodies against African horse sickness virus in domestic animals in Nigeria. Veterinary research 24:483."
"370","","","Akabane virus","Unassigned","Bunyaviridae","Orthobunyavirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Camelus dromedarius","CETARTIODACTYLA","CAMELIDAE","Camelus","","","","","","","","","","","","Davies FG, and Jessett DM (1985). A study of the host range and distribution of antibody to Akabane virus (genus bunyavirus, family Bunyaviridae) in Kenya. The Journal of Hygiene 95:191-196."
"371","","","Bluetongue virus","Unassigned","Reoviridae","Orbivirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Camelus dromedarius","CETARTIODACTYLA","CAMELIDAE","Camelus","","","","","","","","","","","","Kimber KR, Lubroth J, Dubovi EJ, Berninger ML, and Demaar TW (2002). Serologic survey of selected viral, bacterial, and protozoal agents in captive and free-ranging ungulates from central Kenya. Annals of the New York Academy of Sciences 969:217-223."
"372","","","Camelpox virus","Unassigned","Poxviridae","Orthopoxvirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Camelus dromedarius","CETARTIODACTYLA","CAMELIDAE","Camelus","","","","","","","","","","","","Bera BC, Shanmugasundaram K, Barua S, Venkatesan G, Virmani N, Riyesh T, Gulati BR, Bhuprakash V, Vaid RK, Kakker NK, Malik P, Bansal M, Gadvi S, Singh RV, Yadav V, Sardarilal, Ngarajan G, Balamurugan V, Hosamani M, Pathak KML, and Singh RK. (2011). Zoonotic cases of camelpox infection in India. Veterinary microbiology 152:29-38."
"373","","","Crimean-Congo hemorrhagic fever virus","Unassigned","Bunyaviridae","Nairovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Camelus dromedarius","CETARTIODACTYLA","CAMELIDAE","Camelus","","","","","","","","","","","","Morrill JC, Soliman AK, Imam IZ, Botros BA, Moussa MI, and Watts DM (1990). Serological evidence of Crimean-Congo haemorrhagic fever viral infection among camels imported into Egypt. The Journal of tropical medicine and hygiene 93:201-204."
"374","","","Dugbe virus","Unassigned","Bunyaviridae","Nairovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Camelus dromedarius","CETARTIODACTYLA","CAMELIDAE","Camelus","","","","","","","","","","","","Morrill JC, Soliman AK, Imam IZ, Botros BA, Moussa MI, and Watts DM (1990). Serological evidence of Crimean-Congo haemorrhagic fever viral infection among camels imported into Egypt. The Journal of tropical medicine and hygiene 93:201-204."
"375","","","Equine rhinitis A virus","Picornavirales","Picornaviridae","Aphthovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Camelus dromedarius","CETARTIODACTYLA","CAMELIDAE","Camelus","","","","","","","","","","","","Wernery U, Knowles NJ, Hamblin C, Wernery R, Joseph S, Kinne J, et al. (2008). Abortions in dromedaries (Camelus dromedarius) caused by equine rhinitis A virus. Journal of General Virology 89:660-666."
"376","","","Foot-and-mouth disease virus","Picornavirales","Picornaviridae","Aphthovirus","","","","","http://purl.obolibrary.org/obo/RO_0002556","pathogen of","","","Camelus dromedarius","CETARTIODACTYLA","CAMELIDAE","Camelus","","","","","","","","","","","","Yousef M, Mazloum K, and Al-Nakhli H (2012). Serological evidence of natural exposure of camels (Camelus dromedaries) to foot and mouth disease virus. Vet Wld 5:197-200."
