Species,cytb_size,GenbankAccession
Sus_scrofa,1140,AY634187
Syconycteris_australis,1140,GQ410232.1
Sylvicapra_grimmia,1140,AF153904.1
Sylvilagus_aquaticus,1140,AY292726.1
Sylvilagus_audubonii,1140,AY292722
Sylvilagus_bachmani,NA,NA
Sylvilagus_brasiliensis,NA,NA
Sylvilagus_floridanus,1140,AY292724
Sylvilagus_nuttallii,1140,AY292723
Syncerus_caffer,1143,AF036275
Tachyglossus_aculeatus,16360,NC_003321  
Tadarida_brasiliensis,528,L19734
Tadarida_condylura,1079,EF474030.1
Tadarida_plicata,NA,NA
Tadarida_pumila,325,HQ384482.1
Tadarida_pumila,1030,GQ489165.1
Tadarida_teniotis,762,EU360721.1
Tamandua_tetradactyla,648,AF232017.1
Tamias_amoenus,1140,AF147632.1
Tamias_minimus,720,AY120942.1
Tamias_sibiricus,1140,HQ214042.1
Tamias_striatus,631,FJ804409.1
Tamias_umbrinus,1070,AF147677.1
Tamiasciurus_hudsonicus,1140,GU175443.1
Taphozous_melanopogon,1140,EF584221.1
Taphozous_perforatus,NA,NA
Taphozous_theobaldi,NA,NA
Tapirus_indicus,1140,AF145734.1
Tapirus_terrestris,1140,AF056030.1
Tatera_indica,1140,AJ430563
Taurotragus_oryx,1140,JF728786.1
Taxidea_taxus,1140,AF057132.1
Tayassu_pecari,1140,AY534303.1
Thaptomys_nigrita,NA,NA
Theropithecus_gelada,1141,EU885487.1
Thomomys_talpoides,1140,U65291
Thryonomys_swinderianus,714,U59181.1
Tolypeutes_matacus,NA,NA
Tonatia_bidens,1140,FJ155490.1
Trachops_cirrhosus,1140,FJ155483.1
Trachypithecus_cristatus,1140,AF295580
Trachypithecus_francoisi,1140,AF295578
Trachypithecus_obscurus,NA,NA
Tragelaphus_angasii,1143,AF091633
Tragelaphus_eurycerus,1143,AF036276.1
Tragelaphus_imberbis,1140,JF728785.1
Tragelaphus_oryx,517,HQ122589.1
Tragelaphus_scriptus,1143,AF036277.1
Tragelaphus_strepsiceros,1140,AF022063
Tragulus_javanicus,1140,AB122110.1
Trichosurus_vulpecula,1146,U87138
Trinomys_iheringi,1140,EU544664.1 
Tupaia_belangeri,1140,EU531776.1
Tupaia_glis,1140,AY321644
Tursiops_truncatus,1140,AF084095.1
Tylomys_nudicaudus,1143,DQ179812.1
Urocyon_cinereoargenteus,1140,JF489121.1
Urocyon_littoralis,NA,NA
Uroderma_bilobatum,1140,AY169948
Ursus_americanus,1140,U23556
Ursus_arctos,1140,AB020909.1
Ursus_maritimus,1140,U18898.1
Ursus_thibetanus,1140,AB020910.1
Vampyrodes_caraccioli,1140,HQ637421.1
Vandeleuria_oleracea,NA,NA
Varecia_variegata,1140,AF081047
Vespadelus_pumilus,NA,NA
Vespertilio_murinus,1140,AB287359.1
Vespertilio_sinensis,1140,AB287361.1
Vicugna_vicugna,1140,U06430.1
Vulpes_corsac,NA,NA
Vulpes_velox,NA,NA
Vulpes_vulpes,1140,AY928669.1
Xerus_erythropus,423,DQ010402.1
Xerus_inauris,1140,DQ010387
Zalophus_californianus,1140,AM181017
Zygodontomys_brevicauda,1143,EU579521
