,vVirusNameCorrected,IsHoSa.stringent,IsHoSa,seq,vNum,vOrder,vFamily,vSubfamily,vGenus,vIsTypeSpecies,vGenomeMinLength,vGenomeMaxLength,vGenomeAveLength,vPubMedCites,vWOKcites,vICTVnumber,vDNAoRNA,vSSoDS,vSegmented01,vSegmentedTF,vCytoReplic01,vCytoReplicTF,vVectorYNna,vBrdth.medianPD.cytb,vBrdth.meanPD.cytb,vBrdth.minPD.cytb,vBrdth.maxPD.cytb,vBrdth.iqrPD.cytb,vBrdth.sdPD.cytb,vBrdth.medianPD.ST,vBrdth.meanPD.ST,vBrdth.minPD.ST,vBrdth.maxPD.ST,vBrdth.iqrPD.ST,vBrdth.sdPD.ST,vBrdth.medianPD.ST.stringent,vBrdth.meanPD.ST.stringent,vBrdth.minPD.ST.stringent,vBrdth.maxPD.ST.stringent,vBrdth.iqrPD.ST.stringent,vBrdth.sdPD.ST.stringent,vBrdth.medianPD.cytb.stringent,vBrdth.meanPD.cytb.stringent,vBrdth.minPD.cytb.stringent,vBrdth.maxPD.cytb.stringent,vBrdth.iqrPD.cytb.stringent,vBrdth.sdPD.cytb.stringent,NumHosts,IsZoonotic,NumHosts.stringent,IsZoonotic.stringent,vEnvelope
65,Bovine_leukemia_virus,0,1,65,331,Unassigned,Retroviridae,Orthoretrovirinae,Deltaretrovirus,1,NA,NA,8419,1643,1886,00.061.1.05.001.,RNA,SS,0,FALSE,0,FALSE,N,0.67532432,0.508512718,0.167561697,0.682652136,0.429242032,0.295294976,192.4,140.6666667,37.2,192.4,129.3333333,89.60476178,37.2,37.2,37.2,37.2,0,NA,0.167561697,0.167561697,0.167561697,0.167561697,0,NA,3,1,2,0,enveloped
66,Bovine_norovirus-CH126,0,0,66,483,Unassigned,Caliciviridae,,Norovirus,Tentative in genus,NA,NA,NA,0,0,,RNA,SS,0,FALSE,1,TRUE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,non-enveloped
67,Bovine_norovirus-Jena,0,0,67,484,Unassigned,Caliciviridae,,Norovirus,Tentative in genus,NA,NA,NA,0,0,,RNA,SS,0,FALSE,1,TRUE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,non-enveloped
68,Bovine_papillomavirus_1,0,0,68,485,Unassigned,Papillomaviridae,,Deltapapillomavirus,0,NA,NA,7945,1013,47,,DNA,DS,0,FALSE,0,FALSE,N,0.394251693,0.304175505,0.082215678,0.407981708,0.262616068,0.149133467,170.6,119.6333333,11,170.6,147.3166667,79.07084587,170.6,119.6333333,11,170.6,147.3166667,79.07084587,0.394251693,0.304175505,0.082215678,0.407981708,0.262616068,0.149133467,4,0,4,0,non-enveloped
69,Bovine_papillomavirus_3,0,0,69,486,Unassigned,Papillomaviridae,,Xipapillomavirus,1,NA,NA,7276,0,2,,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,non-enveloped
70,Bovine_papillomavirus_5,0,0,70,487,Unassigned,Papillomaviridae,,Epsilonpapillomavirus,1,NA,NA,7841,1,0,,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,non-enveloped
71,Bovine_papular_stomatitis_virus,1,1,71,303,Unassigned,Poxviridae,Chordopoxvirinae,Parapoxvirus,0,NA,NA,13431,29,41,,DNA,DS,0,FALSE,1,TRUE,N,0.682652136,0.682652136,0.682652136,0.682652136,0,NA,192.4,192.4,192.4,192.4,0,NA,192.4,192.4,192.4,192.4,0,NA,0.682652136,0.682652136,0.682652136,0.682652136,0,NA,2,1,2,1,enveloped
72,Bovine_parainfluenza_virus_3,0,0,72,488,Mononegavirales,Paramyxoviridae,Paramyxovirinae,Respirovirus,0,15456,15480,15468,68,19,,RNA,SS,0,FALSE,1,TRUE,N,0.209221081,0.302840762,0.167561697,0.474170496,0.259984517,0.136567803,53.6,78.38666667,37.2,131.6,78.2,39.16459528,37.2,37.2,37.2,37.2,0,NA,0.167561697,0.167561697,0.167561697,0.167561697,0,NA,6,0,2,0,enveloped
73,Bovine_parvovirus,0,0,73,489,Unassigned,Parvoviridae,Parvovirinae,Bocavirus,1,NA,NA,5517,104,119,,DNA,SS,0,FALSE,0,FALSE,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,non-enveloped
74,Bovine_polyomavirus,0,0,74,490,Unassigned,Polyomaviridae,,Polyomavirus,,NA,NA,4697,19,24,,DNA,DS,0,FALSE,1,TRUE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,non-enveloped
75,Bovine_respiratory_syncytial_virus,0,0,75,439,Mononegavirales,Paramyxoviridae,Pneumovirinae,Pneumovirus,0,NA,NA,15140,601,593,,RNA,SS,0,FALSE,1,TRUE,N,0.305047909,0.28191744,0.147000199,0.387589044,0.07226176,0.065167352,53,47.7,11,53.4,1.45,13.50925609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,1,0,enveloped
76,Bovine_torovirus,0,0,76,137,Nidovirales,Coronaviridae,Torovirinae,Torovirus,0,NA,NA,28475,25,34,03.019.0.02.002.,RNA,SS,0,FALSE,1,TRUE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
77,Bovine_viral_diarrhea_virus_1,0,0,77,190,Unassigned,Flaviviridae,,Pestivirus,1,NA,NA,12573,184,170,00.026.0.02.001.,RNA,SS,0,FALSE,1,TRUE,N,0.287852693,0.29617409,0.012003508,0.554974938,0.11622399,0.094777294,53.4,72.08037166,7.4,170.6,53,43.57280086,53.4,71.7038961,7.4,131.6,78.2,39.0088366,0.301388876,0.314918881,0.012003508,0.554974938,0.126136698,0.111710063,42,0,22,0,enveloped
78,Bovine_viral_diarrhea_virus_2,0,0,78,191,Unassigned,Flaviviridae,,Pestivirus,0,NA,NA,12255,161,170,,RNA,SS,0,FALSE,1,TRUE,N,0.271280612,0.27132782,0.237076444,0.305626405,0.057124968,0.034275005,53,45.46666667,30.4,53,18.83333333,13.04811608,53,45.46666667,30.4,53,18.83333333,13.04811608,0.271280612,0.27132782,0.237076444,0.305626405,0.057124968,0.034275005,3,0,3,0,enveloped
79,Bubaline_herpesvirus_1,0,0,79,407,Herpesvirales,Herpesviridae,Alphaherpesvirinae,Varicellovirus,0,NA,NA,NA,4,5,,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
80,Bujaru_virus,0,0,80,105,Unassigned,Bunyaviridae,,Phlebovirus,0,11400,14700,13050,1,1,00.011.0.04.002.,RNA,SS,1,TRUE,1,TRUE,Y,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
81,Bukalasa_bat_virus,0,0,81,157,Unassigned,Flaviviridae,,Flavivirus,0,NA,NA,NA,1,2,,RNA,SS,0,FALSE,1,TRUE,Y,0.12653333,0.12653333,0.12653333,0.12653333,0,NA,24,24,24,24,0,NA,24,24,24,24,0,NA,0.12653333,0.12653333,0.12653333,0.12653333,0,NA,2,0,2,0,enveloped
82,Bunyamwera_virus,1,1,82,82,Unassigned,Bunyaviridae,,Orthobunyavirus,1,NA,NA,12300,253,335,00.011.0.01.001.,RNA,SS,1,TRUE,1,TRUE,Y,0.630826884,0.599412451,0.119926836,0.816853286,0.14791202,0.132942535,183.8,165.8561576,12.4,192.4,21.6,45.37527471,178,156.4833333,12.4,192.4,96.4,51.55652904,0.615745899,0.584513172,0.119926836,0.80418444,0.161330744,0.137781159,29,1,16,1,enveloped
83,Bwamba_virus,1,1,83,83,Unassigned,Bunyaviridae,,Orthobunyavirus,0,NA,NA,NA,8,9,00.011.0.01.015.,RNA,SS,1,TRUE,1,TRUE,Y,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
84,Cabassou_virus,0,0,84,376,Unassigned,Togaviridae,,Alphavirus,0,NA,NA,NA,2,2,00.073.0.01.030.,RNA,SS,0,FALSE,1,TRUE,Y,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
85,Cacipacore_virus,1,1,85,491,Unassigned,Flaviviridae,,Flavivirus,0,NA,NA,1035,2,2,,RNA,SS,0,FALSE,1,TRUE,Y,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
86,California_encephalitis_virus,1,1,86,84,Unassigned,Bunyaviridae,,Orthobunyavirus,0,12300,12450,12375,472,401,00.011.0.01.016.,RNA,SS,1,TRUE,1,TRUE,Y,0.688583452,0.666801969,0.08427027,1.050465534,0.175438538,0.179311995,192.4,177.1454545,3.2,294.2,21.6,58.80773648,192.4,192.4,192.4,192.4,0,NA,0.636987555,0.636987555,0.636987555,0.636987555,0,NA,23,1,2,1,enveloped
87,Callitrichine_herpesvirus_1,0,0,87,438,Herpesvirales,Herpesviridae,Gammaherpesvirinae,Unassigned,0,NA,NA,NA,0,0,,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
88,Callitrichine_herpesvirus_3,0,0,88,422,Herpesvirales,Herpesviridae,Gammaherpesvirinae,Lymphocryptovirus,0,NA,NA,149696,4,4,,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
89,Camelpox_virus,0,1,89,458,Unassigned,Poxviridae,Chordopoxvirinae,Orthopoxvirus,0,NA,NA,205719,51,71,,DNA,DS,0,FALSE,1,TRUE,N,0.766608584,0.766608584,0.766608584,0.766608584,0,NA,192.4,192.4,192.4,192.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,enveloped
90,Canid_herpesvirus_1,0,0,90,198,Herpesvirales,Herpesviridae,Alphaherpesvirinae,Varicellovirus,0,NA,NA,NA,122,101,,DNA,DS,0,FALSE,0,FALSE,N,0.383480266,0.40145038,0.336694376,0.484176498,0.122901769,0.075365363,111.8,105.5333333,93,111.8,15.66666667,10.85418506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,enveloped
91,Canine_adenovirus,0,0,91,9,Unassigned,Adenoviridae,,Mastadenovirus,0,NA,NA,30536,265,376,00.001.0.01.005.,DNA,DS,0,FALSE,0,FALSE,N,0.403040601,0.345225622,0.004860158,0.522617978,0.20443267,0.154438564,111.8,70.12,2.8,111.8,97.8,49.19023691,14,14,14,14,0,NA,0.267061899,0.267061899,0.267061899,0.267061899,0,NA,11,0,2,0,non-enveloped
92,Canine_calicivirus,0,0,92,493,Unassigned,Caliciviridae,,Unassigned,0,NA,NA,8513,21,21,,RNA,SS,0,FALSE,1,TRUE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,non-enveloped
93,Canine_coronavirus,0,0,93,141,Nidovirales,Coronaviridae,,Coronavirus,0,27000,33000,30000,192,325,03.019.0.01.003.,RNA,SS,0,FALSE,1,TRUE,N,0.055919225,0.055919225,0.055919225,0.055919225,0,NA,2.8,2.8,2.8,2.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,enveloped
94,Canine_distemper_virus,1,1,94,247,Mononegavirales,Paramyxoviridae,Paramyxovirinae,Morbillivirus,0,NA,NA,15690,1372,1804,,RNA,SS,0,FALSE,1,TRUE,N,0.405308564,0.439867894,0.09148551,0.846132354,0.165120298,0.182258408,111.8,108.2342857,2.8,192.4,35.2,57.21097668,128.2,126.0714286,6.8,192.4,104.6333333,71.24948788,0.644319354,0.595345259,0.200456219,0.838224186,0.36917174,0.198523793,21,1,8,1,enveloped
95,Canine_minute_virus,0,0,95,494,Unassigned,Parvoviridae,Parvovirinae,Bocavirus,0,NA,NA,5097,11,17,,DNA,SS,0,FALSE,0,FALSE,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,non-enveloped
96,Canine_oral_papillomavirus,0,0,96,495,Unassigned,Papillomaviridae,,Lambdapapillomavirus,1,NA,NA,8607,46,71,,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,non-enveloped
97,Cano_Delgadito_virus,0,0,97,496,Unassigned,Bunyaviridae,,Hantavirus,0,NA,NA,6578,5,6,,RNA,SS,1,TRUE,1,TRUE,N,0.469517499,0.469517499,0.469517499,0.469517499,0,NA,45.6,45.6,45.6,45.6,0,NA,45.6,45.6,45.6,45.6,0,NA,0.469517499,0.469517499,0.469517499,0.469517499,0,NA,2,0,2,0,enveloped
98,Caprine_arthritis_encephalitis_virus,0,0,98,336,Unassigned,Retroviridae,Orthoretrovirinae,Lentivirus,0,NA,NA,9189,396,529,00.061.1.06.007.,RNA,SS,0,FALSE,0,FALSE,NA,0.12162044,0.12162044,0.12162044,0.12162044,0,NA,27.4,27.4,27.4,27.4,0,NA,27.4,27.4,27.4,27.4,0,NA,0.12162044,0.12162044,0.12162044,0.12162044,0,NA,2,0,2,0,enveloped
99,Caprine_herpesvirus_1,0,0,99,408,Herpesvirales,Herpesviridae,Alphaherpesvirinae,Varicellovirus,0,NA,NA,NA,57,55,,DNA,DS,0,FALSE,0,FALSE,N,0.278090727,0.257097265,0.210777006,0.282424062,0.05970588,0.040172991,53.4,47.4,35.4,53.4,15,10.39230485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,enveloped
100,Caraparu_virus,1,1,100,85,Unassigned,Bunyaviridae,,Orthobunyavirus,0,12300,12450,12375,7,16,00.011.0.01.018.,RNA,SS,1,TRUE,1,TRUE,Y,0.850832053,0.78556745,0.147160258,1.020481803,0.178653111,0.198325979,183.8,182.3515152,15.2,294.2,27.6,69.37341597,183.8,173.6088889,15.2,294.2,27.8,80.11668712,0.855123478,0.776045033,0.147160258,1.020481803,0.142480008,0.234886706,12,1,10,1,enveloped
101,Carey_Island_virus,0,0,101,158,Unassigned,Flaviviridae,,Flavivirus,0,NA,NA,NA,1,2,,RNA,SS,0,FALSE,1,TRUE,Y,0.35640258,0.35640258,0.35640258,0.35640258,0,NA,50.2,50.2,50.2,50.2,0,NA,50.2,50.2,50.2,50.2,0,NA,0.35640258,0.35640258,0.35640258,0.35640258,0,NA,2,0,2,0,enveloped
102,Catu_virus,1,1,102,86,Unassigned,Bunyaviridae,,Orthobunyavirus,0,NA,NA,NA,3,4,,RNA,SS,1,TRUE,1,TRUE,Y,0.781288544,0.716626552,0.147160258,1.050183094,0.159820497,0.209110011,192.4,181.5484848,15.2,294.2,21.73333333,72.43713719,183.8,177.5071429,15.2,294.2,86.98333333,92.06061581,0.801828865,0.740098993,0.147160258,1.050183094,0.134577232,0.256180642,12,1,8,1,enveloped
103,Caviid_herpesvirus_1,0,0,103,575,Herpesvirales,Herpesviridae,,Ictalurivirus,0,NA,NA,NA,1,1,,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
104,Caviid_herpesvirus_2,0,0,104,420,Herpesvirales,Herpesviridae,Betaherpesvirinae,Unassigned,0,NA,NA,232678,0,0,,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
105,Caviid_herpesvirus_3,0,0,105,576,Herpesvirales,Herpesviridae,,Ictalurivirus,0,NA,NA,NA,1,1,,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
106,Cercopithecine_herpesvirus_1,1,1,106,196,Herpesvirales,Herpesviridae,Alphaherpesvirinae,Simplexvirus,0,NA,NA,156789,251,90,,DNA,DS,0,FALSE,0,FALSE,N,0.140286064,0.196992401,0.02437469,0.405898964,0.210979429,0.124605064,17.6,30.75555556,9.4,70.6,13,22.40969745,17.2,29.47142857,9.4,70.6,32.6,24.29822211,0.109467009,0.182444398,0.02437469,0.405898964,0.274553174,0.136557704,9,1,8,1,enveloped
107,Cercopithecine_herpesvirus_12,0,0,107,423,Herpesvirales,Herpesviridae,Gammaherpesvirinae,Lymphocryptovirus,0,NA,NA,170000,3,3,,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
108,Cercopithecine_herpesvirus_14,0,0,108,424,Herpesvirales,Herpesviridae,Gammaherpesvirinae,Lymphocryptovirus,0,NA,NA,NA,0,0,,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
109,Cercopithecine_herpesvirus_15,0,0,109,425,Herpesvirales,Herpesviridae,Gammaherpesvirinae,Lymphocryptovirus,0,NA,NA,171096,3,2,,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
110,Cercopithecine_herpesvirus_16,0,0,110,402,Herpesvirales,Herpesviridae,Alphaherpesvirinae,Simplexvirus,0,NA,NA,156487,4,4,,DNA,DS,0,FALSE,0,FALSE,N,0.06437287,0.063014237,0.056101034,0.068568806,0.01038981,0.006343953,15,15,15,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,0,enveloped
111,Cercopithecine_herpesvirus_17,0,0,111,431,Herpesvirales,Herpesviridae,Gammaherpesvirinae,Rhadinovirus,0,NA,NA,133719,1,1,,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
112,Cercopithecine_herpesvirus_2,0,0,112,401,Herpesvirales,Herpesviridae,Alphaherpesvirinae,Simplexvirus,0,NA,NA,150000,4,23,,DNA,DS,0,FALSE,0,FALSE,N,0.663849179,0.663849179,0.663849179,0.663849179,0,NA,32.4,32.4,32.4,32.4,0,NA,32.4,32.4,32.4,32.4,0,NA,0.663849179,0.663849179,0.663849179,0.663849179,0,NA,2,0,2,0,enveloped
113,Cercopithecine_herpesvirus_5,0,0,113,415,Herpesvirales,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,0,NA,NA,226205,1,1,,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
114,Cercopithecine_herpesvirus_8,0,0,114,416,Herpesvirales,Herpesviridae,Betaherpesvirinae,Cytomegalovirus,0,NA,NA,221454,1,1,,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
115,Cercopithecine_herpesvirus_9,0,0,115,409,Herpesvirales,Herpesviridae,Alphaherpesvirinae,Varicellovirus,0,NA,NA,124784,1,1,,DNA,DS,0,FALSE,0,FALSE,N,0.648202344,0.648202344,0.648202344,0.648202344,0,NA,32.4,25.33333333,11.2,32.4,17.66666667,12.23982571,32.4,25.33333333,11.2,32.4,17.66666667,12.23982571,0.648202344,0.648202344,0.648202344,0.648202344,0,NA,3,0,3,0,enveloped
116,Cervid_herpesvirus_1,0,0,116,410,Herpesvirales,Herpesviridae,Alphaherpesvirinae,Varicellovirus,0,NA,NA,NA,9,10,,DNA,DS,0,FALSE,0,FALSE,N,0.304101804,0.274903075,0.195693035,0.31953907,0.106046837,0.056067067,53.4,48.23333333,35.4,53.4,13.41666667,8.158839787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,1,0,enveloped
117,Cervid_herpesvirus_2,0,0,117,411,Herpesvirales,Herpesviridae,Alphaherpesvirinae,Varicellovirus,0,NA,NA,NA,10,10,,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
118,Cetacean_morbillivirus_virus,0,0,118,497,Mononegavirales,Paramyxoviridae,Paramyxovirinae,Morbillivirus,0,NA,NA,15702,0,0,,RNA,SS,0,FALSE,1,TRUE,N,0.098487001,0.123676389,0.020856788,0.222752442,0.171758295,0.079403785,32,40.1,22.2,59.6,37.4,17.25321226,32,40.1,22.2,59.6,37.4,17.25321226,0.098487001,0.123676389,0.020856788,0.222752442,0.171758295,0.079403785,5,0,5,0,enveloped
119,Chagres_virus,1,1,119,106,Unassigned,Bunyaviridae,,Phlebovirus,Tentative in genus,NA,NA,12602,4,4,,RNA,SS,1,TRUE,1,TRUE,Y,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
120,Chandipura_virus,1,1,120,364,Mononegavirales,Rhabdoviridae,,Vesiculovirus,0,NA,NA,11049,83,113,,RNA,SS,0,FALSE,1,TRUE,Y,NA,NA,NA,NA,NA,NA,192.4,192.4,192.4,192.4,0,NA,192.4,192.4,192.4,192.4,0,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,enveloped
121,Chandiru_virus,1,1,121,107,Unassigned,Bunyaviridae,,Phlebovirus,0,1700,1900,1800,1,1,00.011.0.04.003.,RNA,SS,1,TRUE,1,TRUE,Y,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
122,Changuinola_virus,1,1,122,308,Unassigned,Reoviridae,Sedoreovirinae,Orbivirus,0,NA,NA,19200,3,4,00.060.0.02.004.,RNA,DS,1,TRUE,1,TRUE,Y,0.802303076,0.79510789,0.777220034,0.80580056,0.023817105,0.015589729,197.4,172.5666667,62,197.4,23.75,54.43887092,197.4,172.5666667,62,197.4,23.75,54.43887092,0.802303076,0.79510789,0.777220034,0.80580056,0.023817105,0.015589729,4,1,4,1,non-enveloped
123,Chikungunya_virus,1,1,123,377,Unassigned,Togaviridae,,Alphavirus,0,NA,NA,11826,1088,1334,00.073.0.01.007.,RNA,SS,0,FALSE,1,TRUE,Y,0.667338193,0.625385073,0.051346582,0.934338765,0.192928025,0.201545294,183.8,140.0616667,2.4,192.4,121.8,67.71287278,192.4,149.4,2.4,192.4,53.8,59.97296534,0.682479906,0.641868955,0.070224959,0.920040857,0.233116687,0.175664453,16,1,9,1,enveloped
124,Chipmunk_parvovirus,0,0,124,577,Unassigned,Parvoviridae,,Erythrovirus,Tentative in genus,NA,NA,NA,1,1,,DNA,SS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,non-enveloped
125,Chobar_Gorge_virus,0,0,125,309,Unassigned,Reoviridae,Sedoreovirinae,Orbivirus,0,NA,NA,19200,1,1,00.060.0.02.006.,RNA,DS,1,TRUE,1,TRUE,Y,NA,NA,NA,NA,NA,NA,24.6,24.6,24.6,24.6,0,NA,24.6,24.6,24.6,24.6,0,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,non-enveloped
126,Classical_swine_fever_virus,0,0,126,192,Unassigned,Flaviviridae,,Pestivirus,0,12183,12298,12240.5,1164,1353,,RNA,SS,0,FALSE,1,TRUE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,enveloped
127,Cocal_virus,0,0,127,365,Mononegavirales,Rhabdoviridae,,Vesiculovirus,0,NA,NA,NA,19,21,,RNA,SS,0,FALSE,1,TRUE,Y,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,enveloped
128,Colorado_tick_fever_virus,1,1,128,323,Unassigned,Reoviridae,Spinareovirinae,Coltivirus,1,25000,27000,26000,77,115,00.060.0.04.001.,RNA,DS,1,TRUE,1,TRUE,Y,0.658273349,0.604750067,0.075483448,0.903341916,0.256033453,0.18518076,165.2,144.2039526,5.4,192.4,87.8,56.00403174,80.4,112.2872727,5.4,183.8,114.8,62.44401064,0.601927517,0.529189433,0.075483448,0.821491082,0.359559953,0.220468039,23,1,11,1,non-enveloped
129,Corriparta_virus,0,1,129,310,Unassigned,Reoviridae,Sedoreovirinae,Orbivirus,0,NA,NA,19200,4,9,00.060.0.02.007.,RNA,DS,1,TRUE,1,TRUE,Y,0.636987555,0.573751133,0.401613709,0.682652136,0.234198689,0.150813737,192.4,185.1333333,170.6,192.4,18.16666667,12.58623587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,0,non-enveloped
130,Cote_d'Ivoire_ebolavirus,1,1,130,149,Mononegavirales,Filoviridae,,Ebolavirus,0,NA,NA,NA,1,1,,RNA,SS,0,FALSE,1,TRUE,N,0.130389214,0.130389214,0.130389214,0.130389214,0,NA,17.6,17.6,17.6,17.6,0,NA,17.6,17.6,17.6,17.6,0,NA,0.130389214,0.130389214,0.130389214,0.130389214,0,NA,2,1,2,1,enveloped
131,Cottontail_rabbit_papillomavirus,0,0,131,241,Unassigned,Papillomaviridae,,Kappapapillomavirus,1,NA,NA,7868,248,451,00.099.0.11.001.,DNA,DS,0,FALSE,0,FALSE,N,0,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,non-enveloped
132,Cowbone_Ridge_virus,0,0,132,498,Unassigned,Flaviviridae,,Flavivirus,0,NA,NA,1011,1,1,,RNA,SS,0,FALSE,1,TRUE,Y,0.477558078,0.477558078,0.477558078,0.477558078,0,NA,76.4,76.4,76.4,76.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,enveloped
